,old_index,timestamp_milis,fixation_x,fixation_y,fixation_start_ts,fixation_end_ts,saccade_start_ts,saccade_end_ts,vision_simulation,image_enhancement,current_stimulus,array_difficulty,response_correct,key_response_time,participant_id,saccade_amplitude,scan_path,saccade_duration,mean_stimul_fixation,median_stimul_fixation,std_stimul_fixation,mean_stimul_saccade,median_stimul_saccade,std_stimul_saccade
151,4421,4265043.153198242,-13.0,-8.0,4265043.0,4265484.0,4265494.0,4265033.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,9.899495,,130.0,,,,,,
152,4470,4265534.163818359,-6.0,-1.0,4265534.0,4265704.5,4265714.5,4265524.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,11.313708,,50.0,,,,,,
153,4499,4265824.765625,2.0,7.0,4265825.0,4265995.0,4266005.0,4265814.5,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,4.2426405,,120.5,,,,,,
154,4555,4266395.932495117,5.0,10.0,4266396.0,4266546.0,4266556.0,4266386.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,7.81025,,401.0,,,,,,
155,4574,4266586.234008789,-0.0,4.0,4266586.0,4266866.5,4266876.5,4266576.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,12.727922,,40.0,,,,,,
156,4607,4266916.92565918,-9.0,-5.0,4266917.0,4267307.5,4267318.0,4266907.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,2.828427,,50.5,,,,,,
157,4651,4267357.707397461,-11.0,-7.0,4267357.5,4267468.0,4267478.0,4267347.5,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,1.4142135,,50.0,,,,,,
158,4663,4267477.941650391,-12.0,-8.0,4267478.0,4267929.0,4267939.0,4267468.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,16.970562,,10.0,,,,,,
159,4713,4267978.928466797,-0.0,4.0,4267979.0,4268149.5,4268159.5,4267969.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,3.6055512,,50.0,,,,,,
160,4734,4268189.306396484,2.0,7.0,4268189.5,4268349.5,4268359.5,4268179.5,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,9.219544,,40.0,,,,,,
161,4755,4268399.80859375,9.0,13.0,4268400.0,4268850.5,4268860.5,4268390.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,1.0,,50.5,,,,,,
162,4801,4268860.6474609375,9.0,14.0,4268860.5,4269001.0,4269011.0,4268850.5,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,10.630146,,10.0,,,,,,
163,4819,4269041.031494141,2.0,6.0,4269041.0,4269582.0,4269592.0,4269031.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,10.630146,,40.0,,,,,,
164,4878,4269632.281738281,-5.0,-2.0,4269632.5,4269842.5,4269852.5,4269622.0,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,0.0,,50.5,,,,,,
165,4900,4269852.657592773,-5.0,-2.0,4269852.5,4270173.0,4270183.0,4269842.5,1.0,1.0,18.0,16.0,1.0,5.248935200000234,,0.0,,10.0,,,,,,
167,4963,4270483.849121094,2.0,6.0,4270484.0,4270885.0,4270894.5,4270474.0,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,21.213203,,200.5,,,,,,
168,5008,4270934.727905273,-13.0,-9.0,4270934.5,4271145.0,4271155.0,4270924.5,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,9.219544,,49.5,,,,,,
169,5033,4271185.202514648,-7.0,-2.0,4271185.0,4271315.5,4271325.5,4271175.0,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,19.79899,,40.0,,,,,,
170,5057,4271425.701782227,7.0,12.0,4271425.5,4271686.0,4271696.5,4271415.5,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,1.4142135,,110.0,,,,,,
171,5084,4271696.303344727,8.0,13.0,4271696.5,4271806.5,4271816.5,4271686.0,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,1.0,,10.5,,,,,,
172,5096,4271816.540527344,9.0,13.0,4271816.5,4272628.0,4272638.5,4271806.5,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,0.0,,10.0,,,,,,
173,5178,4272638.497192383,9.0,13.0,4272638.5,4273199.0,4273209.5,4272628.0,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,7.071068,,10.5,,,,,,
174,5239,4273249.23828125,4.0,8.0,4273249.0,4273550.0,4273560.0,4273239.5,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,8.485281,,50.0,,,,,,
175,5281,4273670.10949707,-2.0,2.0,4273670.0,4274071.0,4274081.0,4273660.0,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,7.81025,,120.0,,,,,,
176,5325,4274110.962768555,3.0,8.0,4274111.0,4274281.5,4274291.5,4274101.0,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,3.6055512,,40.0,,,,,,
177,5346,4274321.455688477,1.0,5.0,4274321.5,4274421.5,4274431.5,4274311.5,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,2.828427,,40.0,,,,,,
178,5358,4274441.701293945,-1.0,3.0,4274441.5,4274562.0,4274572.0,4274431.5,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,9.219544,,20.0,,,,,,
179,5382,4274682.072875977,-7.0,-4.0,4274682.0,4275233.0,4275243.0,4274672.0,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,1.0,,120.0,,,,,,
180,5438,4275243.177368164,-7.0,-3.0,4275243.0,4275994.5,4276005.0,4275233.0,1.0,1.0,9.0,25.0,1.0,5.605725899999925,,0.0,,10.0,,,,,,
182,5528,4276145.040405273,-7.0,-3.0,4276145.0,4276506.0,4276516.0,4276135.0,1.0,1.0,1.0,9.0,1.0,1.5548390999992991,,1.4142135,,10.0,,,,,,
183,5565,4276515.755371094,-8.0,-4.0,4276516.0,4276656.0,4276666.0,4276506.0,1.0,1.0,1.0,9.0,1.0,1.5548390999992991,,7.071068,,10.0,,,,,,
184,5584,4276706.112670898,-13.0,-9.0,4276706.0,4276876.5,4276886.5,4276696.0,1.0,1.0,1.0,9.0,1.0,1.5548390999992991,,15.556349,,50.0,,,,,,
185,5616,4277026.72668457,-2.0,2.0,4277026.5,4277387.5,4277397.5,4277016.5,1.0,1.0,1.0,9.0,1.0,1.5548390999992991,,16.970562,,150.0,,,,,,
186,5657,4277437.590942383,10.0,14.0,4277437.5,4277638.0,4277648.0,4277427.5,1.0,1.0,1.0,9.0,1.0,1.5548390999992991,,16.27882,,50.0,,,,,,
187,5682,4277688.082641602,-2.0,3.0,4277688.0,4277788.0,4277798.0,4277678.0,1.0,1.0,1.0,9.0,1.0,1.5548390999992991,,1.0,,50.0,,,,,,
